CustomerID,Lookalikes
C0001,"[('C0186', 0.9965715956858878), ('C0058', 0.9964107223714996), ('C0015', 0.9818424881155307)]"
C0002,"[('C0029', 0.9993930562807735), ('C0094', 0.9969858783006272), ('C0077', 0.996101293276985)]"
C0003,"[('C0134', 0.9272166620163228), ('C0072', 0.9253086815594056), ('C0190', 0.9015549138111902)]"
C0004,"[('C0075', 0.9993516715777612), ('C0108', 0.9943536917638258), ('C0165', 0.9898827859755549)]"
C0005,"[('C0061', 0.990423962299511), ('C0130', 0.9855870163111171), ('C0123', 0.9797378258663938)]"
C0006,"[('C0040', 0.9940164221505536), ('C0026', 0.989443661310794), ('C0064', 0.9886326823615218)]"
C0007,"[('C0085', 0.9967606908309854), ('C0078', 0.9838116526154375), ('C0125', 0.981484903681124)]"
C0008,"[('C0084', 0.9854316551437631), ('C0090', 0.9821685757044459), ('C0179', 0.9644769565407785)]"
C0009,"[('C0069', 0.9984467902169549), ('C0192', 0.9982054929990254), ('C0128', 0.9894949903796103)]"
C0010,"[('C0038', 0.9953525167668695), ('C0055', 0.9905267066873404), ('C0174', 0.9901169625535876)]"
C0011,"[('C0126', 0.9995495923926527), ('C0100', 0.9785331397792597), ('C0196', 0.9773325604187244)]"
C0012,"[('C0065', 0.994263102066546), ('C0068', 0.9882316348433008), ('C0045', 0.9856748534049691)]"
C0013,"[('C0141', 0.996168461713589), ('C0082', 0.9914372475307774), ('C0051', 0.9900180380043963)]"
C0014,"[('C0062', 0.99481053883333), ('C0043', 0.9928174744550937), ('C0097', 0.991192944139631)]"
C0015,"[('C0137', 0.9999668771035852), ('C0186', 0.9909796915091191), ('C0131', 0.9867807353849467)]"
C0016,"[('C0107', 0.9945573191642162), ('C0048', 0.9860340416143254), ('C0042', 0.9712541252330968)]"
C0017,"[('C0113', 0.9990376712380035), ('C0109', 0.9914464985330464), ('C0075', 0.9680869511848573)]"
C0018,"[('C0053', 0.9884491819208356), ('C0105', 0.9792731261960046), ('C0182', 0.97373142065253)]"
C0019,"[('C0088', 0.9756000776467042), ('C0047', 0.9674476039220428), ('C0076', 0.9652782720505947)]"
C0020,"[('C0167', 0.9895912192406835), ('C0140', 0.9804962134520664), ('C0080', 0.9795081853872943)]"
C0021,"[('C0067', 0.9894934676602805), ('C0122', 0.9419014450872141), ('C0104', 0.9212466231529198)]"
C0022,"[('C0163', 0.9984195721832748), ('C0087', 0.9857984435886455), ('C0054', 0.9769375318093697)]"
C0023,"[('C0100', 0.9946919292843925), ('C0048', 0.9735351870856617), ('C0187', 0.9609979017785051)]"
C0024,"[('C0139', 0.9772144620879198), ('C0116', 0.8646747928667242), ('C0098', 0.8590371729481232)]"
C0025,"[('C0033', 0.996081014190626), ('C0002', 0.9960794562782437), ('C0077', 0.995085563503808)]"
C0026,"[('C0040', 0.9983544968276867), ('C0079', 0.9982243153419211), ('C0168', 0.9970613358178081)]"
C0027,"[('C0142', 0.9952023168529242), ('C0072', 0.9684755100899339), ('C0010', 0.9651373906538503)]"
C0028,"[('C0046', 0.9922658889856256), ('C0045', 0.9868726271065141), ('C0102', 0.9853122549882698)]"
C0029,"[('C0002', 0.9993930562807735), ('C0157', 0.9972864028840459), ('C0094', 0.9972452120108369)]"
C0030,"[('C0106', 0.9957760563165163), ('C0055', 0.970790188701118), ('C0049', 0.9692282112426585)]"
C0031,"[('C0032', 0.9985367599221574), ('C0077', 0.994415861179799), ('C0119', 0.9908001555593131)]"
C0032,"[('C0031', 0.9985367599221574), ('C0083', 0.9953612790528031), ('C0097', 0.9931472075784491)]"
C0033,"[('C0060', 0.999173181788169), ('C0025', 0.996081014190626), ('C0071', 0.9943134121424847)]"
C0034,"[('C0081', 0.9810162206778948), ('C0091', 0.9787262633096393), ('C0160', 0.9782395277400514)]"
C0035,"[('C0197', 0.9976991151082961), ('C0112', 0.9917344031259144), ('C0036', 0.9841149117129757)]"
C0036,"[('C0197', 0.9919543122328685), ('C0095', 0.9841828213219614), ('C0035', 0.9841149117129757)]"
C0037,"[('C0170', 0.9995429322943181), ('C0171', 0.9981617229254579), ('C0138', 0.9977419329749726)]"
C0038,"[('C0010', 0.9953525167668695), ('C0072', 0.987249040803027), ('C0111', 0.98405273161026)]"
C0039,"[('C0136', 0.9958895156867127), ('C0169', 0.9943565330545492), ('C0195', 0.9875817232192944)]"
C0040,"[('C0026', 0.9983544968276867), ('C0066', 0.9957977142077253), ('C0079', 0.994104826508835)]"
C0041,"[('C0057', 0.9962925275292949), ('C0045', 0.9939825673427769), ('C0143', 0.9896291529186048)]"
C0042,"[('C0133', 0.9988598989435248), ('C0078', 0.9911934659061936), ('C0125', 0.9891274182369787)]"
C0043,"[('C0097', 0.9991736145270891), ('C0166', 0.9990380302906093), ('C0014', 0.9928174744550937)]"
C0044,"[('C0050', 0.9990929990640659), ('C0158', 0.998951360939405), ('C0115', 0.9948746190845178)]"
C0045,"[('C0143', 0.9952129398003093), ('C0041', 0.9939825673427769), ('C0153', 0.9883826324813991)]"
C0046,"[('C0028', 0.9922658889856256), ('C0087', 0.9855771068983772), ('C0099', 0.9838671618542342)]"
C0047,"[('C0147', 0.9837682721501939), ('C0161', 0.9815437467948616), ('C0098', 0.9805463578165002)]"
C0048,"[('C0107', 0.9892943186462657), ('C0016', 0.9860340416143254), ('C0023', 0.9735351870856617)]"
C0049,"[('C0160', 0.994469892833112), ('C0081', 0.9933413061346466), ('C0194', 0.982413131829584)]"
C0050,"[('C0044', 0.9990929990640659), ('C0115', 0.998275284325937), ('C0074', 0.9975122901044063)]"
C0051,"[('C0013', 0.9900180380043963), ('C0059', 0.9822694826682448), ('C0141', 0.9761563118009661)]"
C0052,"[('C0062', 0.9929083380698125), ('C0014', 0.9898654182004293), ('C0036', 0.9812055433981349)]"
C0053,"[('C0105', 0.998123019151939), ('C0018', 0.9884491819208356), ('C0057', 0.9639643526560958)]"
C0054,"[('C0188', 0.9949775506765823), ('C0087', 0.9864051142208969), ('C0141', 0.9852717427790117)]"
C0055,"[('C0174', 0.9999538463840927), ('C0121', 0.9946541222572347), ('C0189', 0.992368064805505)]"
C0056,"[('C0154', 0.9476044077568924), ('C0127', 0.9435435598908932), ('C0184', 0.9433998727582518)]"
C0057,"[('C0041', 0.9962925275292949), ('C0045', 0.981162464977541), ('C0143', 0.9792388855722904)]"
C0058,"[('C0001', 0.9964107223714996), ('C0186', 0.9892162432463009), ('C0015', 0.9795888601136058)]"
C0059,"[('C0141', 0.9912995354868418), ('C0013', 0.9892521144210783), ('C0104', 0.9848624288628601)]"
C0060,"[('C0033', 0.999173181788169), ('C0151', 0.9958979874735935), ('C0025', 0.9949588437060924)]"
C0061,"[('C0005', 0.990423962299511), ('C0123', 0.9871943734405594), ('C0130', 0.9573227666658968)]"
C0062,"[('C0014', 0.99481053883333), ('C0052', 0.9929083380698125), ('C0071', 0.9924992561568804)]"
C0063,"[('C0073', 0.9999482718765162), ('C0095', 0.9899491334398469), ('C0159', 0.9879180424624854)]"
C0064,"[('C0096', 0.9916639957600438), ('C0168', 0.990526723486185), ('C0006', 0.9886326823615218)]"
C0065,"[('C0012', 0.994263102066546), ('C0101', 0.9921384318782985), ('C0156', 0.9886632556500424)]"
C0066,"[('C0185', 0.9986758517643416), ('C0026', 0.9966751770555327), ('C0040', 0.9957977142077253)]"
C0067,"[('C0021', 0.9894934676602805), ('C0155', 0.921548401580134), ('C0122', 0.8914889096472098)]"
C0068,"[('C0012', 0.9882316348433008), ('C0065', 0.9863090817559835), ('C0101', 0.9831635427866888)]"
C0069,"[('C0009', 0.9984467902169549), ('C0192', 0.9974688668700038), ('C0128', 0.9909268289463641)]"
C0070,"[('C0089', 0.9896432204864638), ('C0117', 0.979790483884335), ('C0006', 0.9577087316590492)]"
